date,city,PM2.5,NO2,CO2
2024-11-19,Tel Mond,61,86,410
2024-11-19,Tzur Moshe,73,105,445
2024-11-19,Netanya,55,80,415
2024-11-19,Hod Hasharon,62,91,420
2024-11-19,Ganei Tikva,60,85,410
2024-11-19,Kefar Sava,70,100,440
2024-11-19,Rishon LeTsiyon,66,98,NaN
2024-11-19,Haifa,45,65,390
2024-11-19,Tel Aviv,82,120,480
2024-11-19,Jerusalem,38,50,385
date,city,PM2.5,NO2,CO2
2024-11-20,Tel Mond,55,80,400
2024-11-20,Tzur Moshe,66,99,430
2024-11-20,Netanya,60,85,420
2024-11-20,Hod Hasharon,58,82,405
2024-11-20,Ganei Tikva,62,88,415
2024-11-20,Kefar Sava,72,102,450
2024-11-20,Rishon LeTsiyon,64,92,425
2024-11-20,Haifa,48,70,395
2024-11-20,Tel Aviv,90,135,490
2024-11-20,Jerusalem,40,55,390
date,city,PM2.5,NO2,CO2
2024-11-21,Tel Mond,62,90,430
2024-11-21,Tzur Moshe,75,110,460
2024-11-21,Netanya,60,85,430
2024-11-21,Hod Hasharon,65,100,NaN
2024-11-21,Ganei Tikva,65,95,440
2024-11-21,Kefar Sava,74,,455
2024-11-21,Rishon LeTsiyon,70,105,440
2024-11-21,Haifa,50,72,400
2024-11-21,Tel Aviv,260,720,125
2024-11-21,Jerusalem,42,58,392
date,city,PM2.5,NO2,CO2
2024-11-22,Tel Mond,58,88,405
2024-11-22,Tzur Moshe,65,92,425
2024-11-22,Netanya,53,82,415
2024-11-22,Hod Hasharon,55,,410
2024-11-22,Ganei Tikva,59,85,420
2024-11-22,Kefar Sava,68,98,435
2024-11-22,Rishon LeTsiyon,58,85,410
2024-11-22,Haifa,42,60,388
2024-11-22,Tel Aviv,88,128,475
2024-11-22,Jerusalem,36,48,380
2024-11-23,Tel Mond,52,75,395
2024-11-23,Tzur Moshe,60,85,415
2024-11-23,Netanya,50,78,405
2024-11-23,Hod Hasharon,52,79,400
2024-11-23,Ganei Tikva,55,80,410
2024-11-23,Kefar Sava,64,90,425
2024-11-23,Rishon LeTsiyon,60,88,415
2024-11-23,Haifa,40,58,382
2024-11-23,Tel Aviv,78,115,460
2024-11-23,Jerusalem,34,45,375
2024-11-24,Tel Mond,56,82,402
2024-11-24,Tzur Moshe,63,89,420
2024-11-24,Netanya,52,80,410
2024-11-24,Hod Hasharon,54,81,405
2024-11-24,Ganei Tikva,58,83,415
2024-11-24,Kefar Sava,66,94,430
2024-11-24,Rishon LeTsiyon,62,90,420
2024-11-24,Haifa,41,62,385
2024-11-24,Tel Aviv,80,118,465
2024-11-24,Jerusalem,35,46,378
date,city,PM2.5,NO2,CO2
2024-11-25,Tel Mond,59,84,408
2024-11-25,Tzur Moshe,68,95,432
2024-11-25,Netanya,57,83,418
2024-11-25,Hod Hasharon,61,88,412
2024-11-25,Ganei Tikva,60,86,418
2024-11-25,Kefar Sava,71,101,442
2024-11-25,Rishon LeTsiyon,65,94,428
2024-11-25,Haifa,46,67,392
2024-11-25,Tel Aviv,85,124,478
2024-11-25,Jerusalem,39,52,386
2024-11-26,Tel Mond,64,91,422
2024-11-26,Tzur Moshe,71,102,448
2024-11-26,Netanya,59,86,424
2024-11-26,Hod Hasharon,63,92,418
2024-11-26,Ganei Tikva,62,89,422
2024-11-26,Kefar Sava,73,106,448
2024-11-26,Rishon LeTsiyon,68,99,435
2024-11-26,Haifa,49,71,398
2024-11-26,Tel Aviv,92,138,495
2024-11-26,Jerusalem,41,56,391
2024-11-27,Tel Mond,50,72,390
2024-11-27,Tzur Moshe,58,82,410
2024-11-27,Netanya,48,74,398
2024-11-27,Hod Hasharon,50,75,395
2024-11-27,Ganei Tikva,53,78,402
2024-11-27,Kefar Sava,60,86,418
2024-11-27,Rishon LeTsiyon,56,82,408
2024-11-27,Haifa,38,54,376
2024-11-27,Tel Aviv,72,108,448
2024-11-27,Jerusalem,31,42,370
date,city,PM2.5,NO2,CO2
2024-11-28,Tel Mond,53,78,398
2024-11-28,Tzur Moshe,61,86,416
